396124436476092416,"Think about the life you livin but don't think so hard it hurts Life is truly a gift, but at the same it is a curse",Obey_Jony09
396124436740317184,"“@BleacherReport: Halloween has given us this amazing Derrick Rose photo (via @amandakaschube, @ScottStrazzante) http://t.co/tM0wEugZR1” yes",Colten_stamkos
396124436845178880,"When's 12.4k gonna roll around",Matty_T_03
396124437168537600,"I really wish I didn't give up everything I did for you. I'm so mad at my self for even letting it get as far as it did.",savava143
396124436958412800,"I really need to double check who I'm sending my snapchats to before sending it 😩😭",juliannpham
396124437218885632,"@Darrin_myers30 I feel you man, gotta stay prayed up. Year is important",Ful_of_Ambition
396124437558611968,"tell me what I did in my life to deserve this.",_ItsNotBragging
396124437499502592,"Too many fine men out here...see me drooling",LolaofLife
396124437722198016,"@jaiclynclausen will do",I_harley99
396124437831237632,"I say who day! @ Bloodline Ent. http://t.co/VxElUU7lvf",Unodaone1
396124438070308865,"That still doesn't make up for the Steelers losing to the Raiders, but whatever.",AVar14
396124438175162368,"😂😩😂“@BabyBoyATL: Black girls be acting tough on Twitter all day but I bet none of y'all brave enough to go to sleep with no hair wrap tho.”",AmberChadwick__
396124438116065282,"Whatever. I'm tired of being lied too.",lmgoshert93
396124438501933056,"someone came to in n out with a clifford the big red dog suit on 😂😂😂",elisavea
396124438044766208,"I'm a dead crossing guard. Thanks to @Tracey_17  http://t.co/MvVLicrlds",iJacobb_
396124438556471297,"Ummmm who wants to go shopping with me tomorrow",the_REAL_JT2
396124438527102976,"Current conditions 49.8° Humidity 88% Wind W 3.9mph, Rain today 0.69in, Barometer 29.661in Rising quickly #stlwx http://t.co/WYlh599tpr",OakvilleWx
396124438858858497,"Oh. My. #Bengals. Finding new ways to lose. A safety in OT. Really!? #CINvsMIA  always next week I guess",pgaynor14
396124439064379392,"God changes the hearts of people. Prayer changes the heart of God.",darrellshrew
396124438644551680,"@mos_daph roommates in lawwwww",alexxstelpflug
396124438984290304,"first Halloweekend here at ASU can't wait 😈😈",jlampee
396124439198187520,"Wind 0.0 km/h ESE. Barometer 1012.4 mb, Rising slowly. Temperature 25.0 °C. Rain today 0.0 mm. Humidity 80%",DW9577SW
396124439609237505,"Gotta give it to his mother she did that costume",Cuzzin_1500
396124439324012544,"I should get up on time tomorrow but me being on time is as achievable as world peace",Brookiebabyy86
396124439987105792,"A safety to win the game in overtime? Holy crap. #Dolphins",kiefer292
396124439802155008,"well every1 it's officially Christmas music time 😁🎅🎄🎶",paulinalynn40
396124439797964801,"@millertime_74 it's 11",Andrew_Ras7
396124440112951296,"00:00 #MAW",WesleyBitton
396124439948976128,"I hope I don't have class tomorrow",imma_realist
396124440133906432,"Night, world! :) (@ Jesse's Bachelor Pad ! :)) http://t.co/Q8G4AKpeYi",Jessehazen
396124440028672000,"Dick 2 bomb @lindseeeyr",jenn_demassi
396124440066400256,"Yo soy bien buena con el y siempre me dice cosas en el salon",AnavikHo
396124440238370816,"Goodnight!!!  Much love. 😘",LynnHensley6
396124440792420352,"HAPPY 19th BIRTHDAY TO MY BEST FRIEND PAT DEVLIN🎁🎁🎉🎉🎉🎊🎊🎈🎈",ChrisDevvv
396124440872120320,"HAPPPY BIRTHDAY &lt;3 !!! PARTY HARD TN ;) @d2bandre",xoalliyah
396124440763047936,"@LaurenClausen1 😉😉😉😉😉😉😉😉😉 cause I lav me",hausofhannnerrz
396124440645222400,"That cupcake thing I had at school today &lt;&lt; #gross",kelli_renea
396124440955604992,"feel",hayybbyz
396124441199247360,"Time to head back to the hotel (@ Spider-Man Parking Garage - @universalorl) http://t.co/SKm4TLP8kq",allard1216
396124440909455360,"@kalenkroenke yes ma'am",briannalaabs
396124441349877760,"@AthleteTweets4 L.",Wolff_Haley_
396124441677406208,"67.3°C Wind:2.2mph Pressure: 29.23hpa Steady Rain Today 0.00mm.  Forecast: Precipitation, very unsettled",AppaloosaGuy
396124441723555840,"@LanaDelRey ur first tweet in two months was a link to ur boyfriends shitty music awesome!-!1!!",NICKVILLlERS
396124441521827840,"Swag out my country music rn man",katiekruis23
396124441811636225,"@ball_s0hard good job",Nitchide
396124441379614720,"@SammyWatkins7 legalize http://t.co/FCcownBGWU",luketc1
396124441635065857,"@Tcmolski you actually gonna use twitter now?",SCOTT_NICOLAI
396124442214281216,"Happy Birthday Beautiful @Pygmxo_ 💖 I Hope You Have An Amazing Day, &amp; Get Lots Of Presents🎁🎉💝 &amp; Dont Let Anyone Ruin Your Special Day 💕😻😘",Wendyxo_x3
396124442252038144,"@tayraerenz Ohhhh well ya neva texted me!!",Alicia_Ferst
396124442486902784,"Let's go baby fins for life!!!❤️ #firemeup",Big_DADDY_42
396124442310356992,"Wind 0.0 mph ---. Barometer 29.42 in, Steady. Temperature 39.7 °F. Rain today 0.00 in. Humidity 99%",mnsearchers
396124442293972992,"Rainy fall mornings. #latergram @ Central Bluff http://t.co/CL7SNRZEDz",sam_mumford
396124442268422145,"Hard to be a Bengals fan when I'm surrounded by Colts fans, and we do dumb crap like lose by a safety in OT.",KevinScholz92
396124442511671296,"tonight was 😐",erin_colombe
396124442578788352,"October is officially over 😭",zombieboySTEVE
396124442595573760,"$130 in three days on you.... #isthisajoke #what",carolynlongx3
396124442499096578,"@iDemetrius30  Lol naw not that ugly (; lol",JustinD_310
396124442033541123,"Damnit http://t.co/xMXeSrgVS1",Dan_Ehle
396124442947895297,"@zLuketheDuke go away lol",HannahHls16
396124443229298688,"Tonight's the ideal night for any halloween slut. It's not even cold out.",lyndaburgosnyc
396124442046119936,"Halloween #twin #vampires http://t.co/5iXfEUlRJU",marielrdz10
396124443426422784,"November starts.........NOW! 😌",bev_mocha
396124443178569729,"Yay for having to be at school at 6:50 tomorrow....ha...ha....ha",eee5
396124443485175808,"The shit i do for love 😒",KushInTheWind
396124443757776896,"@GarrisonG_ love you too buddy",_tannerdeas
396124443795128320,"@JbLoVeRfoevs @thatguy_rashaad -___- I hate you",alana_bethx3
396124444235939840,"Is it a problem that is rather drink juice than have a snack or something to eat lol.",lauramarienick
396124443493142528,"65.3F (Feels: 65.3F) - Humidity: 99% - Wind: 0.0mph S - Gust: 1.6mph - Pressure: 1019.5mb (+0.3)  - Rain: 0.78""",moutoncovewx
396124444231335937,"Good night. 💤💤💤💤💤",Dess_Taylor
396124444550123520,"アンカレッジ/Anchorage Anchorage/United States at 7 evening",world7evening
396124444806369280,"Happy #DayOfLen2013 everyone",chaboy_lenny
396124444797571072,"Romero from the right there music video is hella cute &lt;3333",Najely_babeyy
396124445154508800,"@mattwiz13  happy 21 bday! :D",GaryDecan
396124444986327040,"@Jabowilson that's bc in the offseason gasol works on his game and griffin works on his tan.",justinrenfroe
396124445305495553,"@7MiddleNames ... 😪",NickDerozario
396124445280317440,"For one second it really just felt good to smile with a meaning behind it❤️",Decemeber2013
